pipeline,task,model,experiment_id,best_epoch,avg_test_accuracy,learning_rate,weight_decay,test_cross_env_loss,test_cross_env_accuracy,test_cross_env_f1_score,test_cross_device_loss,test_cross_device_accuracy,test_cross_device_f1_score,test_loss,test_accuracy,test_f1_score,test_cross_user_loss,test_cross_user_accuracy,test_cross_user_f1_score,test_hard_loss,test_hard_accuracy,test_hard_f1_score,test_easy_loss,test_easy_accuracy,test_easy_f1_score,test_medium_loss,test_medium_accuracy,test_medium_f1_score
supervised,ProximityRecognition,mlp,params_b15cce25,42,0.34503969543540564,0.001,1e-05,2.802098418859357,0.2531010041346722,0.20325364927003348,3.4878364596624096,0.23762102351313968,0.2276591008824265,0.9279936452706655,0.6302083333333334,0.6332393858839914,4.47810741147332,0.25922842076047736,0.16537184795358345,,,,,,,,,
supervised,ProximityRecognition,lstm,params_a9da53ee,31,0.3909482873169669,0.001,1e-05,3.0125450845730777,0.26993502658003543,0.24489131929326327,3.816599019170632,0.2829875518672199,0.267943546712339,0.7563789884249369,0.7222222222222222,0.7221501112804991,3.92944207128066,0.2886483485983902,0.20907389317340846,,,,,,,,,
supervised,ProximityRecognition,resnet18,params_3a8a2766,13,0.42280477616800427,0.001,1e-05,2.9012475837565566,0.325457767277023,0.26466021994750777,3.4190944960503162,0.29322268326417705,0.24218320606791868,0.6135334422190984,0.7439236111111112,0.7452058712831803,2.430965128720485,0.3286150430197058,0.2560023734697438,,,,,,,,,
supervised,ProximityRecognition,transformer,params_98eefc28,98,0.35793169046805895,0.001,1e-05,3.378688231770695,0.2566450088600118,0.2554302245393758,4.106789732012347,0.29737206085753803,0.2661645113283088,1.2230604423416986,0.5876736111111112,0.5780209721270526,4.946941380472008,0.2900360810435748,0.21721083136438843,,,,,,,,,
supervised,ProximityRecognition,vit,params_77676886,84,0.4058871462944841,0.001,1e-05,3.8693759299141375,0.24276432368576492,0.22761347960293835,3.794824750879831,0.2680497925311203,0.26843518813993106,0.5948527769909965,0.8107638888888888,0.8106038928290106,3.853312104507193,0.3019705800721621,0.21395604778605345,,,,,,,,,
supervised,ProximityRecognition,patchtst,params_a94e6ecc,78,0.4044287367599795,0.001,1e-05,4.074838720784441,0.22563496751329,0.20982806603064774,3.7787718300553705,0.3020746887966805,0.3012356042592669,0.7334575197762914,0.8046875,0.8051935427651911,4.216264116087458,0.2853177907299473,0.22856242809459634,,,,,,,,,
supervised,ProximityRecognition,timesformer1d,params_6fe31f83,32,0.29407016897694715,0.001,1e-05,1.7326197158072167,0.25694034258712345,0.20103734947892016,1.37818588386103,0.27275242047026277,0.19477542215469026,1.272788405418396,0.3854166666666667,0.37525273941874254,1.6753843867246092,0.2611712461837358,0.20969724206793033,,,,,,,,,
supervised,HumanIdentification,mlp,params_a8fcb0c0,69,0.39113184553181446,0.001,1e-05,7.298845468221559,0.19669226225634967,0.32872655478775914,9.687303443042165,0.3695712309820194,0.3422899988537837,0.005228053995859911,0.9982638888888888,0.9982638888888888,28.44560525657533,0.0,0.0,,,,,,,,,
supervised,HumanIdentification,lstm,params_96f00d6b,97,0.43137769647760404,0.001,1e-05,8.603593486163565,0.22947430596574128,0.37328849387460966,5.5462247038067005,0.5012448132780083,0.4567816614166016,0.030179315610780577,0.9947916666666666,0.9947885246972636,15.774571257566631,0.0,0.0,,,,,,,,,
supervised,HumanIdentification,resnet18,params_fa1a6a7d,26,0.3841782954108965,0.001,1e-05,5.296419319718178,0.2722976963969285,0.42804085422469823,5.538479926669004,0.265283540802213,0.2249426025445562,0.008668122945522327,0.9991319444444444,0.9991318278448481,10.627791092655839,0.0,0.0,,,,,,,,,
supervised,HumanIdentification,transformer,params_5901f7b8,96,0.4204523982266224,0.001,1e-05,7.733365298805909,0.33195510927347904,0.49844789356984487,8.148857136858549,0.35159059474412174,0.30750550060665643,0.005810660418062873,0.9982638888888888,0.9982668837846281,16.05805298834088,0.0,0.0,,,,,,,,,
supervised,HumanIdentification,vit,params_8376b818,67,0.42536798223698347,0.001,1e-05,6.008846984332014,0.3372711163614885,0.5044169611307421,6.0321714057751965,0.366804979253112,0.3554714391529795,0.01782317924092543,0.9973958333333334,0.9973922443502848,11.14816113058276,0.0,0.0,,,,,,,,,
supervised,HumanIdentification,patchtst,params_6102ffcc,59,0.3371510560827378,0.001,1e-05,8.68959713313119,0.14559952746603663,0.25418922402681104,7.849833283039392,0.20387275242047026,0.1719375552494297,0.006926530290507394,0.9991319444444444,0.9991318278448481,11.514700187367596,0.0,0.0,,,,,,,,,
